order_id,shoe_brand,date_received,month,day_of_week,expected_release_date,claimed_date,completion_days,branch,basic_cleaning,minor_reglue,full_reglue,minor_restoration,full_restoration,color_renewal,unyellowing,priority_level,order_grand_total
2,Asics,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,2460.0
2,Onitsuka Tiger,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,2460.0
2,Nike,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,2460.0
2,On Cloud,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,2460.0
2,Nike,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,2460.0
2,Onitsuka Tiger,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,2460.0
2,Michael Kors,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,0,0,1,0,0,0,0,regular,2460.0
2,Nike,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,0,1,0,0,0,0,0,regular,2460.0
3,Converse,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,1631.25
3,Converse,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,1631.25
3,Nike,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,1631.25
3,Nike,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,0,1,0,0,0,0,1,regular,1631.25
3,Nike,2025-08-15 00:00:00,8,4,2025-08-19 00:00:00,2025-08-19 00:00:00,4,Villamor,1,0,0,0,0,0,0,regular,1631.25
